subscriptionId,customerId,priceId,status,interval,periodStart,periodEnd
sub_5EM6IgULEBVjEtMx5OH0TT,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/20,2025/12/20
sub_6IW1jzFGNaN8FdSrOaA3at,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,canceled,month,2025/11/20,2025/12/20
sub_1z68uVY7AcLLorgzkXj93R,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/20,2025/12/20
sub_5LrhVdOdAw37py3KZKEVUI,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/20,2025/12/20
sub_3DfXpCdR59SZqqbXTQbzRt,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/20,2025/12/20
sub_56V0x19I1f1KiQcEqC9MHU,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/20,2025/12/20
sub_7HoaWCuBXibsxdl5VpLtzF,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/20,2025/12/20
sub_A455p9qSOAonUkjw9mKbl,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/20,2025/12/20
sub_1iFZcIN1yZEOeypa5zsCfD,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/20,2025/12/20
sub_28XSimfIcwYGy5EaJaObIU,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/20,2025/12/20
sub_1efGAO0h0lJckTzVRAhQs7,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,canceled,month,2025/11/17,2025/12/17
sub_2mynOqIErKLTKZcWcJokCa,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/17,2025/12/17
sub_6zHmfVXFoLXMFUQr6SGXW,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/17,2025/12/17
sub_EjWxHxTtNC05TxmMWR8vs,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/17,2025/12/17
sub_XKp8Qiu5tN4Ob71dEyaqC,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,canceled,month,2025/11/17,2025/12/17
sub_4AaiMv2wbmTUUgABDmeiVt,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/17,2025/12/17
sub_7CDNhFEhKj7nnxWXNIZJXy,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,canceled,month,2025/11/17,2025/12/17
sub_5TM4SMNuUFFot4IdJ7SpyA,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,active,month,2025/11/17,2025/12/17
sub_6OfP2BbFgzyQW3kg8nXqnO,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,canceled,month,2025/11/17,2025/12/17
sub_5CWvB5Luo1L7VMbTy8P5BP,cust_7ECJrW5ALvuCieDX4W3mOQ,pro,canceled,month,2025/11/16,2025/12/16
